Overall Status,Storage and/or Capture,Continent Name,Country Code,DOE Support,Exact Checkbox,Paper,Regional Partnership,Latitude,Longitude,Project Type,Size_Capture_Amount
Active,Capture,Asia,JP,0,1,0,0,35.475659,140.028774,Capture,450.0
Active,Capture,Asia,MY,0,1,0,0,5.83516,100.49881,Capture,450.0
Completed,Capture and Storage,Europe,NL,0,1,0,0,53.341915,3.896861,CCS,450.0
Active,Capture and Storage,Europe,NL,0,1,0,0,51.961685,4.09398,CCS,850.0
Hold,Capture and Storage,Europe,NL,1,1,0,0,53.447939,6.853228,CCS,1200.0
Completed,Capture and Storage,Europe,NL,0,0,0,0,53.107152,6.050072,CCS,50.0
Active,Capture,Europe,NL,0,1,0,0,51.957395,4.027916,Capture,1040.0
Active,Storage,Europe,NO,0,0,0,0,56.549197,3.209986,Storage,450.0
Terminated,Capture and Storage,Europe,NO,0,0,0,0,63.41136551,8.729652405,CCS,860.0
Hold,Capture and Storage,Europe,NO,0,1,0,0,59.280426,5.523822,CCS,420.0
Active,Capture and Storage,Europe,NO,0,1,0,0,60.81358337,5.028857231,CCS,630.0
Hold,Capture and Storage,Europe,NO,0,0,0,0,59.85858,5.740327,CCS,400.0
Active,Capture and Storage,Europe,NO,1,0,0,0,58.188087,2.731416,CCS,450.0
Active,Capture and Storage,Europe,NO,1,1,0,0,70.6877507,23.597363,CCS,450.0
Completed,Storage,Europe,PL,0,0,0,0,49.9476,19.0632,Storage,15.0
Completed,Storage,Europe,PL,0,1,0,0,49.9476,19.0632,Storage,450.0
Terminated,Capture and Storage,Europe,S,0,1,0,0,57.477624,-1.788701,CCS,385.0
Terminated,Capture,Europe,GB,0,1,1,0,55.967693,-2.9709975,Capture,1200.0
Terminated,Capture and Storage,Europe,NL,0,1,0,0,51.881705,4.359552,CCS,117.0
Terminated,Capture and Storage,North America,USA,0,1,0,0,28.9773217,-95.3509855,CCS,400.0
Terminated,Capture and Storage,Australia,AU,0,0,0,0,-25.067967,148.595423,CCS,400.0
Active,Capture and Storage,Australia,AU,0,0,0,0,-38.131486,146.363143,CCS,450.0
Active,Capture and Storage,Australia,AU,0,0,0,0,-33.501991,116.330709,CCS,450.0
Hold,Capture and Storage,North America,CA,0,0,0,0,50.426664,-112.218873,CCS,1000.0
Terminated,Capture and Storage,North America,CA,0,1,0,0,53.447382,-114.449536,CCS,450.0
Active,Capture and Storage,North America,USA,0,1,0,0,35.759809,-117.376175,CCS,108.0
Active,Capture,South America,BR,0,0,0,0,-22.465016,-43.804919,Capture,450.0
Active,Capture,Asia,In,0,0,0,0,28.276608,79.168361,Capture,450.0
Terminated,Capture,Asia,CN,1,0,0,0,34.596891,119.220804,Capture,1200.0
Terminated,Capture,Europe,Fi,1,1,0,0,61.631878,21.40684,Capture,565.0
Active,Capture and Storage,Asia,KR,0,0,0,0,37.45,129.165,CCS,300.0
Hold,Capture and Storage,Europe,FR,0,0,0,0,49.323907,6.091537,CCS,0.0
Hold,Capture and Storage,Europe,IT,1,0,0,0,44.955975,12.488261,CCS,250.0
Terminated,Capture and Storage,Europe,NL,0,0,0,0,51.958989,4.026485,CCS,250.0
Terminated,Capture and Storage,Europe,PL,1,1,0,0,51.266389,19.330556,CCS,858.0
Active,Capture and Storage,North America,USA,0,1,0,0,37.046926,-95.608486,CCS,450.0
Terminated,Capture and Storage,Europe,PL,0,1,0,0,50.316361,18.251953,CCS,300.0
Active,Capture,North America,USA,0,0,0,0,42.261909,-110.194623,Capture,0.0
Active,Capture and Storage,North America,USA,0,0,0,0,29.804012,-101.167563,CCS,0.0
Completed,Storage,North America,USA,1,1,0,1,38.1174,-121.8044,Storage,450.0
